Poste,AnneeNaiss,Taille,Poids
Pillier,1896,172,76
Pillier,1898,178,86
Pillier,1898,170,78
Pillier,1900,173,79
Pillier,1907,182,87
Pillier,1909,183,86
Pillier,1909,180,88
Pillier,1910,171,75
Pillier,1910,171,76
Pillier,1911,180,91
Pillier,1911,170,83
Pillier,1913,182,96
Pillier,1915,182,95
Pillier,1917,174,82
Pillier,1925,187,107
Pillier,1926,176,92
Pillier,1930,175,90
Pillier,1931,180,100
Pillier,1932,169,90
Pillier,1932,179,92
Pillier,1932,181,89
Pillier,1934,176,90
Pillier,1936,175,88
Pillier,1936,182,98
Pillier,1936,175,86
Pillier,1938,182,97
Pillier,1939,176,85
Pillier,1939,179,89
Pillier,1940,175,87
Pillier,1940,185,96
Pillier,1940,173,87
Pillier,1941,182,98
Pillier,1943,178,82
Pillier,1944,175,89
Pillier,1945,180,105
Pillier,1946,184,92
Pillier,1947,173,71
Pillier,1948,183,82
Pillier,1948,170,80
Pillier,1949,180,103
Pillier,1950,186,95
Pillier,1951,183,81
Pillier,1951,180,102
Pillier,1954,174,90
Pillier,1954,182,105
Pillier,1955,190,105
Pillier,1956,180,106
Pillier,1956,180,96
Pillier,1957,183,120
Pillier,1960,180,103
Pillier,1960,192,111
Pillier,1963,176,94
Pillier,1965,177,105
Pillier,1965,185,109
Pillier,1965,180,98
Pillier,1966,180,98
Pillier,1967,184,107
Pillier,1968,180,95
Pillier,1969,186,110
Pillier,1969,178,95
Pillier,1969,185,115
Pillier,1969,180,113
Pillier,1970,190,127
Pillier,1971,172,105
Pillier,1971,188,125
Pillier,1972,192,102
Pillier,1972,187,108
Pillier,1972,182,114
Pillier,1972,185,106
Pillier,1973,176,95
Pillier,1973,175,110
Pillier,1974,189,118
Pillier,1974,186,124
Pillier,1974,180,117
Pillier,1974,177,102
Pillier,1974,178,113
Pillier,1975,178,108
Pillier,1976,190,130
Pillier,1976,180,110
Pillier,1976,190,110
Pillier,1977,185,117
Pillier,1978,179,105
Pillier,1978,188,118
Pillier,1978,178,105
Pillier,1979,180,120
Pillier,1980,175,96
Pillier,1980,185,108
Pillier,1981,183,106
Pillier,1981,192,125
Pillier,1981,187,118
Pillier,1981,186,120
Pillier,1982,180,101
Pillier,1983,179,104
Pillier,1983,179,120
Pillier,1984,188,108
Pillier,1984,192,110
Pillier,1985,185,115
