year,champion,finalist,duration,champion_lat,champion_lon,finalist_lat,finalist_lon
2019,Toulouse,Clermont-Ferrand,fulltime,43.6008029,1.3628015,45.787119,3.0777067
2018,Castres,Montpellier,fulltime,43.6132583,2.2097962,43.6101249,3.8041219
2017,Clermont-Ferrand,Toulon,fulltime,45.787119,3.0777067,43.136465,5.8633915
2016,Racing 92,Toulon,fulltime,48.8910105,2.2346106,43.136465,5.8633915
2015,Stade Français,Clermont-Ferrand,fulltime,48.859,2.2069779,45.787119,3.0777067
2014,Toulon,Castres,fulltime,43.136465,5.8633915,43.6132583,2.2097962
2013,Castres,Toulon,fulltime,43.6132583,2.2097962,43.136465,5.8633915
2012,Toulouse,Toulon,fulltime,43.6008029,1.3628015,43.136465,5.8633915
2011,Toulouse,Montpellier,fulltime,43.6008029,1.3628015,43.6101249,3.8041219
2010,Clermont-Ferrand,Perpignan,fulltime,45.787119,3.0777067,42.699218,2.7644189
2009,Perpignan,Clermont-Ferrand,fulltime,42.699218,2.7644189,45.787119,3.0777067
2008,Toulouse,Clermont-Ferrand,fulltime,43.6008029,1.3628015,45.787119,3.0777067
2007,Stade Français,Clermont-Ferrand,fulltime,48.859,2.2069779,45.787119,3.0777067
2006,Biarritz,Toulouse,fulltime,43.471038,-1.5908119,43.6008029,1.3628015
2005,Biarritz,Stade Français,fulltime,43.471038,-1.5908119,48.859,2.2069779
2004,Stade Français,Perpignan,fulltime,48.859,2.2069779,42.699218,2.7644189
2003,Stade Français,Toulouse,fulltime,48.859,2.2069779,43.6008029,1.3628015
2002,Biarritz,Agen,prolongation,43.471038,-1.5908119,44.2011192,0.5951886
2001,Toulouse,Clermont-Ferrand,fulltime,43.6008029,1.3628015,45.787119,3.0777067
2000,Stade Français,Colomiers,fulltime,48.859,2.2069779,43.6117554,1.254465
1999,Toulouse,Clermont-Ferrand,fulltime,43.6008029,1.3628015,45.787119,3.0777067
1998,Stade Français,Perpignan,fulltime,48.859,2.2069779,42.699218,2.7644189
1997,Toulouse,Bourgoin Jallieu,fulltime,43.6008029,1.3628015,45.6026382,5.2046799
1996,Toulouse,Brive,fulltime,43.6008029,1.3628015,45.1455817,1.444288
1995,Toulouse,Castres,fulltime,43.6008029,1.3628015,43.6132583,2.2097962
1994,Toulouse,Clermont-Ferrand,fulltime,43.6008029,1.3628015,45.787119,3.0777067
1993,Castres,Grenoble,fulltime,43.6132583,2.2097962,45.1842207,5.6805231
1992,Toulon,Biarritz,fulltime,43.136465,5.8633915,43.471038,-1.5908119
1991,Bègles,Toulouse,fulltime,44.803057,-0.5835203,43.6008029,1.3628015
1990,Racing 92,Agen,prolongation,48.8910105,2.2346106,44.2011192,0.5951886
1989,Toulouse,Toulon,fulltime,43.6008029,1.3628015,43.136465,5.8633915
1988,Agen,Tarbes,fulltime,44.2011192,0.5951886,43.2387897,0.0302661
